id,mean,data
1,0.23782102254106932,01.06.2023
2,0.22722297265137126,01.06.2023
3,0.14374533771396467,01.06.2023
4,0.15196907601851015,01.06.2023
5,0.17818917684439173,01.06.2023
6,0.16750382342785075,01.06.2023
7,0.12120059289205085,01.06.2023
8,0.10320086473731646,01.06.2023
1,0.23782102254106932,25.05.2023
2,0.22722297265137126,25.05.2023
3,0.14374533771396467,25.05.2023
4,0.15196907601851015,25.05.2023
5,0.17818917684439173,25.05.2023
6,0.16750382342785075,25.05.2023
7,0.12120059289205085,25.05.2023
8,0.10320086473731646,25.05.2023
1,0.23782102254106932,18.05.2023
2,0.22722297265137126,18.05.2023
3,0.14374533771396467,18.05.2023
4,0.15196907601851015,18.05.2023
5,0.17818917684439173,18.05.2023
6,0.16750382342785075,18.05.2023
7,0.12120059289205085,18.05.2023
8,0.10320086473731646,18.05.2023
1,0.23782102254106932,16.05.2023
2,0.22722297265137126,16.05.2023
3,0.14374533771396467,16.05.2023
4,0.15196907601851015,16.05.2023
5,0.17818917684439173,16.05.2023
6,0.16750382342785075,16.05.2023
7,0.12120059289205085,16.05.2023
8,0.10320086473731646,16.05.2023